category,metric,value,formula_or_source,evidence_file,evidence_status,confidence,slide_usefulness,notes
Kinematics and reachability,active arm-chain joints,"5 (shoulder_pan, shoulder_lift, elbow_flex, wrist_flex, wrist_roll)",EXPECTED_ARM_JOINT_NAMES and FK unit test assertions,"[""chess_robot/robot/urdf_model.py"", ""tests/test_fk.py"", ""data/analysis/thesis_kinematics_pytest_result.txt""]",dry-run tested,high,high,Gripper is represented separately and excluded from arm-chain IK/FK.
Kinematics and reachability,FK/Jacobian/IK/workspace/reachability unit test subset,28 passed / 28 run,Success rate = 28 / 28 x 100 = 100.0%,data/analysis/thesis_kinematics_pytest_result.txt,dry-run tested,high,high,Subset selected from pure kinematics tests only.
Kinematics and reachability,workspace sample count,20000,metadata.sample_count,data/debug/so101_square_reachability.json,dry-run tested,high,high,Sampled workspace used for position-only reachability.
Kinematics and reachability,sampled workspace bounds min/max m,"min=[-0.4377160258822751, -0.33632267111385883, -0.14047918882150057] max=[0.43340066910602204, 0.47638649473798, 0.6078149481045542]",metadata.workspace_bounds_m,data/debug/so101_square_reachability.json,dry-run tested,high,medium,"Bounds are sampled TCP positions, not guaranteed reachable volume boundary."
Kinematics and reachability,target positions evaluated,130,64 surface + 64 above + 2 capture targets,data/debug/so101_square_reachability.json,dry-run tested,high,high,Target set covers all board squares plus capture zone.
Kinematics and reachability,square surface reachability,"reachable=60, marginal=4, unreachable=0, coverage=100.0%",Coverage = (reachable + marginal) / total x 100,data/debug/so101_square_reachability.json,dry-run tested,high,high,Position-only sampled reachability; it does not prove IK orientation or collision-free descent.
Kinematics and reachability,square above reachability,"reachable=48, marginal=16, unreachable=0, coverage=100.0%",Coverage = (reachable + marginal) / total x 100,data/debug/so101_square_reachability.json,dry-run tested,high,high,Position-only sampled reachability; it does not prove IK orientation or collision-free descent.
Kinematics and reachability,capture-zone surface reachability,"reachable=1, marginal=0, unreachable=0, coverage=100.0%",Coverage = (reachable + marginal) / total x 100,data/debug/so101_square_reachability.json,dry-run tested,high,high,Position-only sampled reachability; it does not prove IK orientation or collision-free descent.
Kinematics and reachability,capture-zone above reachability,"reachable=1, marginal=0, unreachable=0, coverage=100.0%",Coverage = (reachable + marginal) / total x 100,data/debug/so101_square_reachability.json,dry-run tested,high,high,Position-only sampled reachability; it does not prove IK orientation or collision-free descent.
Kinematics and reachability,IK square surface,"success=64, marginal=0, failed=0, success_rate=100.0%",Success rate = successful targets / total targets x 100,data/debug/so101_square_ik_safety_recalibrated_fast.json,dry-run tested,high,high,"Position-only IK; orientation, descent and grasp remain separate validations."
Kinematics and reachability,IK square above,"success=56, marginal=4, failed=4, success_rate=87.5%",Success rate = successful targets / total targets x 100,data/debug/so101_square_ik_safety_recalibrated_fast.json,dry-run tested,high,high,"Position-only IK; orientation, descent and grasp remain separate validations."
Kinematics and reachability,IK capture-zone surface,"success=1, marginal=0, failed=0, success_rate=100.0%",Success rate = successful targets / total targets x 100,data/debug/so101_square_ik_safety_recalibrated_fast.json,dry-run tested,high,high,"Position-only IK; orientation, descent and grasp remain separate validations."
Kinematics and reachability,IK capture-zone above,"success=1, marginal=0, failed=0, success_rate=100.0%",Success rate = successful targets / total targets x 100,data/debug/so101_square_ik_safety_recalibrated_fast.json,dry-run tested,high,high,"Position-only IK; orientation, descent and grasp remain separate validations."
Kinematics and reachability,modelled IK residuals,"mean=3.342 mm, median=1.866 mm, max=45.196 mm",Calculated from target.error_mm over 130 IK targets,data/debug/so101_square_ik_safety_recalibrated_fast.json,dry-run tested,high,high,"Includes surface, above, and capture targets."
Kinematics and reachability,square_surface IK residuals,"mean=2.201 mm, median=1.959 mm, max=4.732 mm",Calculated from 64 rows where target_type=square_surface,data/debug/so101_square_ik_safety_recalibrated_fast.json,dry-run tested,high,medium,
Kinematics and reachability,square_above IK residuals,"mean=4.542 mm, median=1.827 mm, max=45.196 mm",Calculated from 64 rows where target_type=square_above,data/debug/so101_square_ik_safety_recalibrated_fast.json,dry-run tested,high,medium,
Kinematics and reachability,IK joint-limit hits by joint,"{'wrist_flex': 12, 'elbow_flex': 4}",Count of target hit_limit_joints values,data/debug/so101_square_ik_safety_recalibrated_fast.json,dry-run tested,high,medium,Limit hits concentrate in wrist_flex in the safety-recalibrated IK output.
